time,gx,gy,gz,ax,ay,az,label
1700454907.0,-0.06378266,0.8528767,-0.24461116,1.2192472,8.508993,2.6180596,1.0
1700455017.0,-0.19680746,-0.12197269,0.32170963,0.7164649,10.7990465,4.027047,1.0
1700455017.0,-0.20133483,-0.5747097,-0.257128,0.40581718,6.1985884,1.7794905,1.0
1700454907.0,-0.044607915,-0.34634385,-0.09547425,-1.1408371,10.608109,6.0226145,1.0
1700454907.0,0.66778713,-0.6530066,-0.37816858,1.6005238,12.708423,4.3382936,1.0
1700454723.0,-0.3053312,0.12197269,-0.034088437,2.4959552,8.525752,6.451775,1.0
1700454907.0,0.71066403,-0.15459639,0.079495296,0.35673606,10.604518,2.5049336,1.0
1700454907.0,0.047670547,-0.6799045,-0.44714442,0.49799395,6.9264255,2.9257145,1.0
1700454723.0,-0.11957584,0.0494016,0.04114581,1.7010803,11.954249,5.715558,1.0
1700454487.0,-0.19387798,0.45779705,0.36565176,-1.174356,8.264186,5.887342,1.0
1700455017.0,-0.33489224,-0.07563372,0.1254348,0.9151836,10.940904,4.1575313,1.0
1700454487.0,0.3131875,-0.5539371,-0.16192007,3.9564183,8.789713,8.77834,1.0
1700454487.0,-0.23089589,-0.78683037,-0.124769,2.8508956,10.09156,5.801749,1.0
1700454907.0,-0.56166023,-0.7495461,-0.3021354,2.385822,11.105505,5.6563015,1.0
1700454907.0,0.02277001,-0.056991603,0.07749793,-0.9343372,8.787917,4.277241,1.0
1700454487.0,-0.805073,0.9034767,0.47244442,0.8146271,11.485584,7.373543,1.0
1700455017.0,0.07430214,0.45939493,-0.11797795,-1.3916297,7.901464,4.1491513,1.0
1700454907.0,-0.25193486,0.43782336,0.10412952,-0.6027403,8.742428,2.666542,1.0
1700454487.0,0.30479857,-0.058190025,-0.26578328,2.795829,12.196063,3.8115692,1.0
1700454487.0,0.13835111,0.023169484,-0.3253049,1.043872,8.00621,4.7644615,1.0
1700454487.0,-0.18828535,-0.71705556,0.0519316,2.3780408,9.683948,6.3985043,1.0
1700455017.0,-0.16751271,-0.16671376,-0.41465387,0.9923966,8.902241,4.1162314,1.0
1700454907.0,0.4006723,-0.027696855,-0.053795815,0.985214,11.100717,2.7222073,1.0
1700455017.0,-0.30732855,-0.71705556,-0.2543317,0.13467385,7.4854717,2.8191724,1.0
1700455017.0,-0.12596743,0.009587373,0.22716747,0.15023616,9.842564,7.949947,1.0
1700454487.0,-0.09574057,-0.14540848,-0.2840259,1.2186487,7.5800424,2.8461072,1.0
1700454907.0,-0.22410484,0.19947061,0.13608743,0.29747957,5.7395,1.9686323,1.0
1700455017.0,0.21078904,0.6578003,-0.25486434,0.05626374,8.641273,5.7215433,1.0
1700454487.0,-0.103730045,0.40839544,0.28136277,3.4823663,11.972205,6.084265,1.0
1700454723.0,0.7480814,-0.10412952,0.14940323,0.7739257,8.47308,5.047576,1.0
1700454487.0,0.10279794,0.26911223,0.42970073,-0.08080431,7.3729444,3.503914,1.0
1700454723.0,-0.44075283,-0.23901853,-0.23995064,0.49919105,5.9400144,2.295441,1.0
1700454907.0,-0.33116382,-0.6520745,-0.5620597,0.34356794,6.2883706,1.2114661,1.0
1700455017.0,0.009853689,0.5090629,0.10253163,1.1145009,7.8386164,1.246182,1.0
1700454907.0,0.27483803,-0.027696855,0.00652474,0.7781156,10.802638,3.678691,1.0
1700454723.0,0.5442166,0.11411637,0.18029587,0.6422446,8.387487,5.011064,1.0
1700454487.0,0.04700476,-0.17030902,-0.3924165,1.3293805,7.394492,2.806603,1.0
1700454907.0,-0.0013315795,-0.28589013,-0.25033695,2.5791538,13.129802,3.7618895,1.0
1700454907.0,0.08082688,0.024501063,-0.06058687,0.7068881,11.118074,4.033033,1.0
1700454723.0,0.89095986,-0.86006725,0.18615483,0.022744916,8.749012,5.1660886,1.0
1700454723.0,0.13475585,-0.13382374,0.07616635,0.66618663,10.398018,6.1530986,1.0
1700454723.0,-0.28043064,-0.069907926,0.07150582,2.4702177,10.223241,7.1065893,1.0
1700455017.0,-0.22716747,-0.4810997,-0.31771487,0.2669535,8.192958,3.6870706,1.0
1700455017.0,0.11078742,0.111453205,0.036618438,0.5470751,9.877877,2.658761,1.0
1700455017.0,-0.25672853,-0.29694223,0.229298,0.9367314,10.773309,4.4119153,1.0
1700454487.0,-0.013848428,0.5380913,0.29334697,2.0524294,8.200141,3.726575,1.0
1700455017.0,0.21544957,-0.4069307,-0.26671538,0.2873042,7.065289,1.5855601,1.0
1700454723.0,0.03914844,0.17204008,0.090147935,-0.81761986,8.576629,4.772841,1.0
1700454907.0,0.71878666,-0.6082655,-0.43143177,1.6005238,12.708423,4.3382936,1.0
1700455017.0,-0.22556958,-0.25033695,0.32956594,0.6548142,10.844537,4.3903675,1.0
1700455017.0,-0.08801741,0.31451908,0.20905799,-0.670975,6.0477533,1.7310078,1.0
1700454907.0,0.017976323,-0.17217323,-0.15273218,-0.4357447,11.038467,5.920861,1.0
1700454907.0,0.79961354,-0.23475747,-0.11158637,1.5813702,9.26197,3.83192,1.0
1700454907.0,0.04234423,-0.744353,-0.41252336,0.7613561,7.4363904,4.446631,1.0
1700454487.0,0.21212062,-0.4211786,0.18682061,0.39444473,5.879561,4.9242744,1.0
1700454487.0,-0.28682223,-0.3239733,0.28815383,1.7232267,9.473856,5.3582234,1.0
1700454487.0,0.1649827,-0.4420844,-0.4779039,1.9668367,7.704541,3.2674868,1.0
1700454723.0,-0.15273218,0.014780533,-0.27430537,1.0971429,6.4404025,3.750517,1.0
1700454487.0,0.10865689,0.015046849,-0.09028109,3.108871,12.545018,3.9797618,1.0
1700455017.0,0.06471477,0.028229486,0.17070849,0.55126494,10.37228,3.572149,1.0
1700454907.0,0.6436856,-0.4944155,-0.36618438,1.1899183,11.097125,5.0146556,1.0
1700454723.0,0.76113087,-0.9665936,0.067377925,0.42197806,8.429385,5.057751,1.0
1700455017.0,-0.073636346,-0.034621067,0.24554327,0.7164649,10.7990465,4.027047,1.0
1700454907.0,0.124769,0.8542083,-0.2577938,0.6907272,9.256582,3.4500446,1.0
