Time_Stamp,Latitude,Longitude,Acceleration_X,Acceleration_Y,Acceleration_Z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z,Index,Distance
1700453829829.0,39.9517704,116.3370313,-1.0642227,5.8262897,10.563816,-0.85740405,0.3655186,0.5564671,848.0,12.708527663448525
1700453829953.9998,39.951761,116.3370345,-1.6316484,5.037999,6.6624646,-0.32756856,0.6644582,0.07776424,854.0,12.7858471012389
1700453829967.0,39.95175655,116.3370352,-1.7196354,4.035427,8.432379,-0.6562024,0.38935387,0.17949693,855.0,12.793919010398922
1700453829989.0,39.95173484,116.33702752000002,-1.271321,3.7469256,8.20433,-0.6360955,-0.105594255,0.13329111,856.0,12.806240661813892
1700453830007.0,39.951687899999996,116.337022775,-0.7846996,3.78643,6.909666,-0.4006723,-0.33369383,0.098137416,857.0,12.81609310008339
1700453830031.0,39.951622,116.33702319,-0.7846996,3.78643,6.909666,-0.1691106,-0.26738116,0.124635845,858.0,12.82922968444272
1700453830054.0002,39.95157336666667,116.33702033333333,-0.6715736,3.9600096,5.6179943,-0.07643267,-0.025166854,0.21025641,859.0,12.84230617081199
1700453830068.0,39.9515604,116.3370212,-0.5021838,4.0916905,5.228338,-0.08815057,0.07856319,0.23555642,860.0,12.850475515979417
1700453830593.9998,39.951548,116.3370219,0.14724341,3.679888,7.4405804,-0.108124256,-0.29374644,-0.59747976,886.0,13.262997963798997
1700453830609.0,39.951548,116.3370219,0.15981296,3.7816415,6.9725137,-0.065513715,-0.41944757,-0.6210487,887.0,13.271034500843124
1700453831552.0,39.9515344,116.337017,1.75076,7.2065473,8.763975,0.60000974,-0.91546094,-0.63476396,934.0,14.015550705884438
1700453831572.0,39.9515344,116.337017,2.1493945,7.1963716,7.401076,0.24580958,-0.48975495,-0.53502864,935.0,14.036812940934546
1700453831589.0,39.9515344,116.337017,2.8299465,6.567295,7.0467343,-0.003462107,0.08695214,-0.5095955,936.0,14.054020944924575
1700453832573.0,39.9515234,116.3370136,-0.04249708,7.173627,9.401431,0.18189377,-0.057124764,0.16218638,985.0,14.824770641633286
1700453832591.0,39.9515234,116.3370136,0.14724341,7.255628,9.812635,0.2508696,-0.10412952,0.13009532,986.0,14.843261062526636
1700453833573.0,39.951514,116.337013,-0.11432313,5.641338,5.705383,-0.02929475,0.10825742,0.30692908,1035.0,15.636526703247162
1700453833593.0,39.951514,116.337013,-0.014963761,5.755661,5.804742,-0.057124764,0.03648528,0.31305435,1036.0,15.652821034605674
1700453834555.0,39.9515031,116.3370149,-0.79607207,4.9799395,7.125743,-0.22237378,0.40519965,-0.17110798,1084.0,16.475518043680104
1700453834572.0,39.9515031,116.3370149,-0.9828198,5.3007627,7.180211,-0.23289326,0.35473278,-0.12743217,1085.0,16.48849093072338
1700453834592.0,39.9515031,116.3370149,-0.777517,5.1529207,7.0712748,-0.17337166,0.19361167,-0.09640636,1086.0,16.503243978892996
1700453835596.0,39.9514942,116.3370175,-1.5927427,6.7630215,9.333197,-0.054328445,0.3733749,0.26471803,1136.0,17.32350124917048
1700453837574.0002,39.951486,116.3370209,-0.14305355,3.1483753,5.9807158,0.22037642,-0.31345382,-0.57937026,1235.0,18.819730135912497
1700453837597.0,39.951486,116.3370209,-0.4297592,3.70802,5.0332108,0.20865852,-0.19148114,-0.5659213,1236.0,18.83188296117899
1700453872584.0,39.951473,116.3370223,-0.074818805,4.92607,5.397728,-0.0585895,0.005725792,-0.20599535,2984.0,49.07727137146105
1700453872604.0,39.951473,116.3370223,-0.12868834,4.805163,5.445612,0.10226531,0.0105194785,-0.24394538,2985.0,49.0908796654704
1700453872644.0,39.9514664,116.3370228,-0.17956513,4.8416743,5.2103815,0.18069534,-0.06791056,-0.28802067,2986.0,49.118312072218686
1700453872645.0,39.9514664,116.3370228,-0.41299978,5.2959743,4.844667,0.20346536,-0.13009532,-0.25193486,2987.0,49.11906399339451
1700453872663.0,39.95145243999999,116.33702506,-0.5859809,5.777209,4.5567646,0.21584904,-0.09920268,-0.16844481,2988.0,49.13385926881799
1700453872684.0,39.95142575999999,116.33702867000002,-0.4902128,6.0800753,4.441244,0.28242803,0.029694224,-0.10612689,2989.0,49.151991244951645
1700453872704.0,39.95137583076923,116.33702227692308,-0.39444473,6.281787,4.630985,0.3775028,0.12823111,-0.045273706,2990.0,49.16981000841522
1700453872725.0,39.951286986666666,116.33702824666668,-0.38965634,6.5068417,4.8739963,0.42517334,0.15579481,0.012783164,2991.0,49.18918657073869
1700453872743.0,39.95120522941176,116.33701545882353,-0.40282443,6.707356,5.093664,0.40613177,0.15219954,0.04807002,2992.0,49.20630703534981
1700453872765.0,39.9511621,116.3369907375,-0.3597288,7.029376,5.451597,0.37124437,0.1691106,0.088683195,2993.0,49.2282258603699
1700453873585.0,39.9511502,116.336923,1.1414356,6.659472,8.24204,0.5390234,0.38522595,-0.8161251,3034.0,50.09064906757294
1700453873604.0,39.9511502,116.336923,0.48722005,6.889914,7.1568675,0.26897907,0.49734497,-0.7315698,3035.0,50.10922541982354
1700453874565.0,39.9511467,116.3369059,-0.110133275,10.001179,9.6288805,-0.5109271,-0.63809294,-0.11851058,3083.0,51.01674911493348
1700453874585.0,39.9511467,116.3369059,0.20111294,9.853935,10.234015,-0.6950845,-0.3834949,-0.11278479,3084.0,51.044651414368126
1700453875593.0,39.9511438,116.3368903,-0.01316811,8.363545,7.743447,0.28575698,-0.17430377,-0.10266478,3134.0,51.98031448185069
1700453875606.0002,39.9511438,116.3368903,-0.15682021,8.736442,8.239645,0.21305273,-0.1514006,-0.11398321,3135.0,51.99639343534624
1700453911584.0,39.9511411,116.3368703,0.7164649,5.2061915,4.551976,0.07816372,-0.06511424,-0.6106624,4932.0,90.30123203266402
1700453911600.0,39.9511411,116.3368703,0.23523031,5.6443305,4.4322658,0.2786996,-0.07989477,-0.58988976,4933.0,90.31402640886806
1700453911628.0,39.95113762857142,116.33680931428572,0.065242,6.1237693,4.132991,0.38056543,-0.15206638,-0.5275718,4934.0,90.33829873351554
1700453911636.0,39.95113747777778,116.33679555555555,0.1328782,6.55293,3.615843,0.35553175,-0.1814943,-0.44048652,4935.0,90.34572079689472
