Lid,Start_x,Start_y,End_x,End_y
110,-484.1649866,-304.7869204,-484.1649866,-311.0789231
111,-484.1649866,-311.0789231,-474.2775538,-329.9549311
112,-683.7113575,-123.2176999,-678.3182124,-150.1834257
113,-678.3182124,-150.1834257,-664.08,-222.09
114,-664.08,-222.09,-661.2399194,-243.6646085
115,-661.2399194,-243.6646085,-656.02,-260.99
116,-656.02,-260.99,-648.655914,-290.4051999
117,-648.655914,-290.4051999,-640.5661962,-322.7640709
118,-648.655914,-290.4051999,-573.1518817,-272.4280494
119,-656.02,-260.99,-581.2415995,-247.2600386
120,-664.08,-222.09,-589.3313172,-204.1148774
121,-678.3182124,-150.1834257,-603.7130376,-132.2062752
122,-589.3313172,-204.1148774,-512.0295699,-186.1377268
123,-455.4015457,-231.0806032,-458.0981183,-229.2828881
124,-277.4277554,28.68922211,-298,103.5
