ImageName,Acceleration_X,Acceleration_Y,Acceleration_Z,Longitude,Latitude,Gyroscope_Y,Gyroscope_X,Gyroscope_Z
1683516151458984255.png,-0.85603243,10.060598,0.41657192,116.55063681341753,39.89884166612917,-0.0020594886 ,0.08464847 ,0.053441983
1683516151548563943.png,-0.91476697,9.836329,-0.2649232,116.55063681341753,39.89884166612917,-0.031101767 ,-0.60950387 ,0.16758652
1683516151582772797.png,-0.35972401,9.787448,0.21341912,116.55063681341753,39.89884166612917,-0.08724901 ,-0.7530921 ,0.1251401
1683516151647810297.png,0.19697575,9.637773,0.35019508,116.55063681341753,39.89884166612917,0.18664551 ,-0.5798158 ,0.1595231
1683516151717088943.png,-0.23401885,10.498574,-0.039600093,116.55063681341753,39.89884166612917,0.5630083 ,-1.5206879 ,0.2592861
1683516151780073318.png,-1.4994789,8.572228,-0.28423962,116.55063681341753,39.89884166612917,0.12812462 ,-0.1964019 ,0.00842994
1683516151850617068.png,-1.1227273,9.6048565,-1.2180932,116.55063681341753,39.89884166612917,-0.04649557 ,0.25075147 ,0.1971873
1683516151924226443.png,0.22980505,10.409759,0.17075446,116.55063681341753,39.89884166612917,-0.3135833 ,0.8137249 ,0.12685053
1683516151998571755.png,-0.3049255,9.875412,-0.5684218,116.55063681341753,39.89884166612917,-0.09492846 ,0.61723566 ,-0.076358154
1683516152068698839.png,-5.4337554,10.338096,6.0289636,116.55063681341753,39.89884166612917,-0.29649654 ,0.91690874 ,-0.2149722
1683516152133295193.png,-0.1955967,10.132511,0.18309896,116.55063681341753,39.89884166612917,-0.053249996 ,0.8351575 ,0.05440191
1683516152214173839.png,-0.37094802,10.415487,-0.3131137,116.55063681341753,39.89884166612917,-0.0034732053 ,0.18626153 ,-0.002687807
1683516152290614464.png,-0.4447852,9.711256,-0.3423421,116.55063681341753,39.89884166612917,-0.08958775 ,0.19097392 ,0.029251719
1683516152348386859.png,-0.57615024,10.258493,0.49203715,116.55063681341753,39.89884166612917,-0.10742501 ,-0.26970574 ,0.10452777
1683516152417387380.png,-0.6577734,9.546918,0.7373566,116.55063681341753,39.89884166612917,-0.045605455 ,-0.1903107 ,-0.018011797
1683516152488775922.png,-0.5806226,9.552118,0.7630321,116.55063681341753,39.89884166612917,-0.02469641 ,-0.18350391 ,-0.017523106
1683516152566840505.png,-0.5271553,10.209881,-0.2383284,116.55063681341753,39.89884166612917,-0.24129176 ,0.0967436 ,0.2756573
1683516152644570713.png,-0.21948124,10.083141,0.82847995,116.55063681341753,39.89884166612917,-0.04754277 ,0.0657291 ,0.076689765
1683516152728224359.png,-0.123263076,10.234906,0.9484869,116.55063681341753,39.89884166612917,-0.011117747 ,0.01605703 ,0.011920598
1683516152801497797.png,-0.18219875,10.029071,0.26757598,116.55063681341753,39.89884166612917,0.0064751715 ,0.09443977 ,0.0030543262
1683516152878118630.png,-0.17720923,9.584612,0.69858015,116.55063681341753,39.89884166612917,0.005427974 ,-0.16290903 ,0.01298525
1683516152940549880.png,-0.104770266,10.1169,0.37757516,116.55063681341753,39.89884166612917,-0.011850785 ,-0.037402406 ,-0.007906342
1683516153009734776.png,-0.02176808,9.781214,0.4497077,116.55063681341753,39.89884166612917,-0.058800142 ,-0.20931734 ,-0.012461651
1683516153088955609.png,-0.15609236,9.754208,0.8307688,116.55063681341753,39.89884166612917,-0.22785273 ,-0.53403586 ,0.030927233
1683516153158306130.png,-0.61032987,9.936119,0.73472303,116.55063681341753,39.89884166612917,0.02284636 ,0.026598819 ,-0.024504423
1683516153223160297.png,-0.4937514,10.429114,0.9657156,116.55063681341753,39.89884166612917,-0.0028448866 ,0.096761055 ,-0.010088003
1683516153288767068.png,-0.0017429788,10.018059,0.9934117,116.55063681341753,39.89884166612917,0.015882496 ,0.062133722 ,-0.032288592
1683516153359408734.png,-0.6281523,9.914485,0.50070417,116.55063681341753,39.89884166612917,0.031206487 ,-0.07808603 ,-0.023073252
1683516153423250922.png,-0.1495514,9.911985,0.596501,116.55063681341753,39.89884166612917,-0.0037350047 ,0.06297148 ,-0.008639379
1683516153489633734.png,-0.3712832,9.737698,0.65732324,116.55063681341753,39.89884166612917,-0.0053930674 ,-0.04003785 ,9.424778E-4
1683516153560670192.png,-0.16426139,9.898271,0.7511568,116.55063681341753,39.89884166612917,0.023038346 ,0.070005156 ,-0.030944688
1683516153621484776.png,-0.12327265,10.388786,0.48733494,116.55063681341753,39.89884166612917,-0.004939282 ,7.5049157E-4 ,-0.0070685833
1683516153728135817.png,-0.29816428,9.913469,0.53192455,116.55063681341753,39.89884166612917,-0.023509584 ,-0.1237962 ,-0.018483037
1683516153787971234.png,-0.22000797,10.19588,0.7508504,116.55063681341753,39.89884166612917,-0.017854718 ,0.07824311 ,-0.019757127
1683516153853588942.png,-0.15139015,9.425887,0.7218039,116.55063681341753,39.89884166612917,-0.02713987 ,0.052674036 ,-0.042865288
1683516153919630088.png,-0.47291228,10.069916,0.8159726,116.55063681341753,39.89884166612917,-3.4906584E-4 ,0.065397486 ,0.0029321532
1683516153988590505.png,-0.33823365,9.7735815,0.3946506,116.55063681341753,39.89884166612917,-0.0063355453 ,-0.15704472 ,0.007120943
