Time_Stamp,Latitude,Longitude,Acceleration_X,Acceleration_Y,Acceleration_Z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z,Index,Distance
1700453829839.0,39.9517704,116.3370313,-1.0642227,5.8262897,10.563816,-0.85740405,0.3655186,0.5564671,848,12.708527663448525
1700453829972.0,39.951761,116.3370345,-1.6316484,5.037999,6.6624646,-0.32756856,0.6644582,0.07776424,854,12.7858471012389
1700453829978.0,39.9517521,116.3370359,-1.7196354,4.035427,8.432379,-0.6562024,0.38935387,0.17949693,855,12.793919010398922
1700453829989.0,39.9517365,116.337029,-1.271321,3.7469256,8.20433,-0.6360955,-0.105594255,0.13329111,856,12.806240661813892
1700453829998.0,39.9517195,116.3370206,-0.7846996,3.78643,6.909666,-0.4006723,-0.33369383,0.098137416,857,12.81609310008339
1700453830015.0,39.95168,116.3370212,-0.7846996,3.78643,6.909666,-0.1691106,-0.26738116,0.124635845,858,12.82922968444272
1700453830037.0,39.9515866,116.3370203,-0.6715736,3.9600096,5.6179943,-0.07643267,-0.025166854,0.21025641,859,12.84230617081199
1700453830049.0,39.9515604,116.3370212,-0.5021838,4.0916905,5.228338,-0.08815057,0.07856319,0.23555642,860,12.850475515979417
1700453830591.0,39.951548,116.3370219,0.14724341,3.679888,7.4405804,-0.108124256,-0.29374644,-0.59747976,886,13.262997963798997
1700453831571.0,39.9515344,116.337017,1.75076,7.2065473,8.763975,0.60000974,-0.91546094,-0.63476396,934,14.015550705884438
1700453832572.0,39.9515234,116.3370136,-0.04249708,7.173627,9.401431,0.18189377,-0.057124764,0.16218638,985,14.824770641633286
1700453833578.0,39.951514,116.337013,-0.11432313,5.641338,5.705383,-0.02929475,0.10825742,0.30692908,1035,15.636526703247162
1700453834572.0,39.9515031,116.3370149,-0.79607207,4.9799395,7.125743,-0.22237378,0.40519965,-0.17110798,1084,16.475518043680104
1700453835597.0,39.9514942,116.3370175,-1.5927427,6.7630215,9.333197,-0.054328445,0.3733749,0.26471803,1136,17.32350124917048
1700453837593.0,39.951486,116.3370209,-0.14305355,3.1483753,5.9807158,0.22037642,-0.31345382,-0.57937026,1235,18.819730135912497
1700453872604.0,39.951473,116.3370223,-0.12868834,4.805163,5.445612,0.10226531,0.0105194785,-0.24394538,2985,49.0908796654704
1700453872661.0,39.9514664,116.3370228,-0.17956513,4.8416743,5.2103815,0.18069534,-0.06791056,-0.28802067,2986,49.118312072218686
1700453872668.0,39.9514603,116.3370234,-0.5859809,5.777209,4.5567646,0.21584904,-0.09920268,-0.16844481,2988,49.13385926881799
1700453872672.0,39.9514534,116.3370244,-0.4902128,6.0800753,4.441244,0.28242803,0.029694224,-0.10612689,2989,49.151991244951645
1700453872686.0,39.9514312,116.3370301,-0.39444473,6.281787,4.630985,0.3775028,0.12823111,-0.045273706,2990,49.16981000841522
1700453872710.0,39.9513799,116.3370183,-0.38965634,6.5068417,4.8739963,0.42517334,0.15579481,0.012783164,2991,49.18918657073869
1700453872724.0,39.9513113,116.3370186,-0.40282443,6.707356,5.093664,0.40613177,0.15219954,0.04807002,2992,49.20630703534981
1700453872746.0,39.9511844,116.3370422,-0.3597288,7.029376,5.451597,0.37124437,0.1691106,0.088683195,2993,49.2282258603699
1700453873594.0,39.9511502,116.336923,1.1414356,6.659472,8.24204,0.5390234,0.38522595,-0.8161251,3034,50.09064906757294
1700453874577.0,39.9511467,116.3369059,-0.110133275,10.001179,9.6288805,-0.5109271,-0.63809294,-0.11851058,3083,51.01674911493348
1700453875594.0,39.9511438,116.3368903,-0.01316811,8.363545,7.743447,0.28575698,-0.17430377,-0.10266478,3134,51.98031448185069
1700453911585.0,39.9511411,116.3368703,0.7164649,5.2061915,4.551976,0.07816372,-0.06511424,-0.6106624,4932,90.30123203266402
1700453911637.0,39.9511402,116.3368527,0.065242,6.1237693,4.132991,0.38056543,-0.15206638,-0.5275718,4934,90.33829873351554
1700453911642.0,39.9511392,116.3368365,0.1328782,6.55293,3.615843,0.35553175,-0.1814943,-0.44048652,4935,90.34572079689472
1700453911643.0,39.9511384,116.3368221,0.31064767,6.993463,3.1872811,0.2631201,-0.12290479,-0.35326806,4936,90.36454791251836
1700453911661.0,39.9511396,116.3367259,0.49919105,7.4735007,3.283049,0.1833585,0.035153702,-0.24927169,4937,90.38575253801493
1700453911681.0,39.9511388,116.3366211,0.5482722,7.837419,3.9713821,0.13875058,0.15526217,-0.15965639,4938,90.409106594026
1700453911702.0,39.9511465,116.3365599,0.34835634,8.384495,4.7483006,0.12729901,0.26618275,-0.029427908,4939,90.43286357763331
1700453911716.0,39.951142,116.3364676,0.016759412,9.0016,5.463568,0.090813726,0.36685017,0.14554164,4940,90.4570729727129
1700453911740.0,39.9511229,116.3363586,-0.23403321,9.179369,6.95336,-0.0042610546,0.33249542,0.2593917,4941,90.48566773482676
1700453912591.0,39.9511179,116.3363262,0.31483752,6.531382,5.8161144,-0.18522272,-0.20146799,-0.34354752,4982,91.45929239966398
1700453913600.0,39.9511169,116.3363106,1.9883845,8.930372,9.838972,0.21038957,-0.24660853,-0.30386645,5033,92.62503009277884
1700453914594.0,39.9511153,116.3362959,1.0737995,9.551667,6.9024835,0.15499586,-0.18469009,0.18056218,5082,93.66985093847724
1700453915591.0,39.9511129,116.3362829,-0.3172317,7.865551,3.0460231,-0.55726606,0.2860233,0.5338302,5132,94.8125645151006
1700453916585.0,39.9511107,116.3362685,0.13826515,4.4424415,2.9454668,-0.023968432,0.31451908,0.19068219,5182,96.03241304447396
1700453917591.0,39.9511084,116.3362482,-1.6693572,7.467515,8.160038,-0.7680551,-0.39627808,0.3620565,5232,97.27989966719672
1700453918564.0,39.9511076,116.3362331,-0.80445176,10.817602,7.445369,-0.47404233,0.4012049,0.22237378,5281,98.42220797857568
