Latitude,Longitude,Acceleration_X,Acceleration_Y,Acceleration_Z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z
39.9510885,116.3405165,0.15682021,9.670779,2.4881742,0.06751108,0.041944757,0.08335688
39.9510437,116.3405492,2.1918917,9.285313,1.0708067,-0.08721846,-0.044075284,0.029694224
39.9510615,116.3405582,1.7154455,9.950302,2.4516625,-0.014913691,0.23329274,0.054994237
39.9510595,116.3405617,0.777517,9.250597,3.115455,0.11118689,-0.005592634,-0.105594255
39.9510478,116.3405442,1.3443443,9.586982,1.5131354,-0.027563697,-0.09361004,-0.018375797
39.9510328,116.3405219,1.3443443,9.586982,1.5131354,-0.027563697,-0.09361004,-0.018375797
39.9510144,116.3404919,1.3443443,9.586982,1.5131354,-0.027563697,-0.09361004,-0.018375797
39.9509876,116.3404611,1.3443443,9.586982,1.5131354,-0.027563697,-0.09361004,-0.018375797
39.9509556,116.3404323,1.3443443,9.586982,1.5131354,-0.027563697,-0.09361004,-0.018375797
39.9509214,116.3404033,1.3443443,9.586982,1.5131354,-0.027563697,-0.09361004,-0.018375797
39.950887,116.3403703,1.3443443,9.586982,1.5131354,-0.027563697,-0.09361004,-0.018375797
39.9508506,116.3403359,1.3443443,9.586982,1.5131354,-0.027563697,-0.09361004,-0.018375797
39.9508281,116.3402904,1.3443443,9.586982,1.5131354,-0.027563697,-0.09361004,-0.018375797
39.9508049,116.3402428,1.3443443,9.586982,1.5131354,-0.027563697,-0.09361004,-0.018375797
39.9507798,116.3401878,1.3443443,9.586982,1.5131354,-0.027563697,-0.09361004,-0.018375797
39.9507632,116.3401323,1.3443443,9.586982,1.5131354,-0.027563697,-0.09361004,-0.018375797
39.9507394,116.3400869,0.1592144,9.205107,3.247136,-0.07882951,0.07456846,0.03448791
39.9507135,116.3400565,0.1592144,9.205107,3.247136,-0.07882951,0.07456846,0.03448791
39.950687,116.3400342,0.1592144,9.205107,3.247136,-0.07882951,0.07456846,0.03448791
39.9506593,116.3400297,0.1592144,9.205107,3.247136,-0.07882951,0.07456846,0.03448791
39.9506283,116.3400358,0.1592144,9.205107,3.247136,-0.07882951,0.07456846,0.03448791
39.9505955,116.3400466,0.1592144,9.205107,3.247136,-0.07882951,0.07456846,0.03448791
39.9505606,116.3400579,0.1592144,9.205107,3.247136,-0.07882951,0.07456846,0.03448791
39.9505241,116.3400742,0.79367787,9.064447,3.4913447,0.015845796,-0.17084165,0.00519316
39.9504851,116.3400869,0.79367787,9.064447,3.4913447,0.015845796,-0.17084165,0.00519316
39.9504465,116.3400967,0.79367787,9.064447,3.4913447,0.015845796,-0.17084165,0.00519316
39.9504063,116.3401065,0.79367787,9.064447,3.4913447,0.015845796,-0.17084165,0.00519316
39.9503656,116.3401175,0.79367787,9.064447,3.4913447,0.015845796,-0.17084165,0.00519316
39.9503248,116.3401286,0.79367787,9.064447,3.4913447,0.015845796,-0.17084165,0.00519316
39.9502817,116.3401321,0.9552865,9.223063,2.4390929,0.09254478,-0.10319742,-0.036751594
39.9502368,116.340143,0.9552865,9.223063,2.4390929,0.09254478,-0.10319742,-0.036751594
39.9501866,116.3401555,0.9552865,9.223063,2.4390929,0.09254478,-0.10319742,-0.036751594
39.9501363,116.3401723,0.9552865,9.223063,2.4390929,0.09254478,-0.10319742,-0.036751594
39.950083,116.3401872,0.9552865,9.223063,2.4390929,0.09254478,-0.10319742,-0.036751594
39.9500304,116.3402023,0.82719666,9.4062195,2.1517887,0.027830012,0.11518163,0.04420844
39.9499777,116.3402251,0.82719666,9.4062195,2.1517887,0.027830012,0.11518163,0.04420844
39.9499226,116.340243,0.85293436,10.796653,2.8682537,-0.42397493,0.32250857,-0.011451584
39.9498666,116.3402608,0.33997664,8.611943,3.6888664,-0.1798964,-0.01691106,0.3103912
39.9498136,116.3402782,0.51355624,10.376471,2.460641,-0.3039996,0.05206476,-0.17004271
39.9497605,116.3402911,0.7529764,9.348759,2.557606,-0.055127393,0.118776895,0.082424775
39.9497115,116.3403032,0.9247604,9.038112,4.0037036,0.30346698,-0.37284228,-0.12303795
39.9496658,116.3403172,0.8451532,9.387665,2.896984,-0.14554164,-0.09400952,-0.007057372
39.9496251,116.3403296,1.7459716,10.153211,3.2423477,-0.45526704,0.028895276,0.021172116
39.9495838,116.3403382,1.2491747,10.412383,3.4512417,-0.25726116,0.12290479,-0.14128059
39.9495429,116.3403463,1.4359225,8.118738,3.0855274,0.21491694,-0.076565824,-0.09547425
39.949521,116.340346,-0.24001873,8.504803,5.4126916,0.21957746,-0.09707215,-0.01824264
39.9494786,116.3403361,0.62129533,10.219051,6.0226145,-0.07084003,-0.35606438,-0.4845618
39.9494579,116.3403156,2.0709844,10.3770685,2.0913353,-0.3655186,0.15166691,0.07550056
39.9494382,116.3402786,-0.40761283,9.603143,3.4680011,-0.006258424,-0.04447476,-0.04114581
39.9494267,116.3402389,0.8451532,9.279925,0.7218518,0.52743864,-0.22823274,0.24727432
39.9494205,116.3401952,0.8451532,9.279925,0.7218518,0.52743864,-0.22823274,0.24727432
39.949413,116.3401482,0.8451532,9.279925,0.7218518,0.52743864,-0.22823274,0.24727432
39.9493992,116.3401001,0.8451532,9.279925,0.7218518,0.52743864,-0.22823274,0.24727432
39.9493889,116.3400629,0.8451532,9.279925,0.7218518,0.52743864,-0.22823274,0.24727432
39.9493765,116.3399945,0.8451532,9.279925,0.7218518,0.52743864,-0.22823274,0.24727432
39.9493641,116.3399316,0.8451532,9.279925,0.7218518,0.52743864,-0.22823274,0.24727432
39.9493548,116.3398763,0.8451532,9.279925,0.7218518,0.52743864,-0.22823274,0.24727432
39.9493461,116.3398274,1.9309237,9.838972,1.4395138,-0.5203813,-0.004793686,0.009454215
39.9493375,116.3397782,1.9309237,9.838972,1.4395138,-0.5203813,-0.004793686,0.009454215
39.9493297,116.3397291,1.9309237,9.838972,1.4395138,-0.5203813,-0.004793686,0.009454215
39.9493144,116.3396741,1.9309237,9.838972,1.4395138,-0.5203813,-0.004793686,0.009454215
39.9493004,116.3396205,1.9309237,9.838972,1.4395138,-0.5203813,-0.004793686,0.009454215
39.9492877,116.339565,1.9309237,9.838972,1.4395138,-0.5203813,-0.004793686,0.009454215
39.9492741,116.3395166,1.9309237,9.838972,1.4395138,-0.5203813,-0.004793686,0.009454215
39.9492671,116.339466,1.9309237,9.838972,1.4395138,-0.5203813,-0.004793686,0.009454215
39.949261,116.339413,1.9309237,9.838972,1.4395138,-0.5203813,-0.004793686,0.009454215
39.9492574,116.339355,1.9309237,9.838972,1.4395138,-0.5203813,-0.004793686,0.009454215
39.9492536,116.3393086,1.697489,9.926959,1.8231846,-0.6097303,0.030226856,-0.13062796
39.9492503,116.3392593,1.697489,9.926959,1.8231846,-0.6097303,0.030226856,-0.13062796
39.9492425,116.3392161,0.97264445,10.048465,2.678513,-0.59428394,0.08721846,-0.20572904
39.9492348,116.3391787,0.97264445,10.048465,2.678513,-0.59428394,0.08721846,-0.20572904
39.9492262,116.3391405,0.97264445,10.048465,2.678513,-0.59428394,0.08721846,-0.20572904
39.9492206,116.3390986,0.97264445,10.048465,2.678513,-0.59428394,0.08721846,-0.20572904
39.9492162,116.339055,0.97264445,10.048465,2.678513,-0.59428394,0.08721846,-0.20572904
39.9492073,116.3390103,0.97264445,10.048465,2.678513,-0.59428394,0.08721846,-0.20572904
39.9491967,116.3389649,0.97264445,10.048465,2.678513,-0.59428394,0.08721846,-0.20572904
39.9491873,116.3389177,0.97264445,10.048465,2.678513,-0.59428394,0.08721846,-0.20572904
39.9491761,116.3388697,0.97264445,10.048465,2.678513,-0.59428394,0.08721846,-0.20572904
39.9491647,116.3388234,0.97264445,10.048465,2.678513,-0.59428394,0.08721846,-0.20572904
39.9491539,116.3387799,-0.20470424,9.980828,3.840898,-0.5012065,0.14594112,-0.23981747
39.9491447,116.3387397,-0.20470424,9.980828,3.840898,-0.5012065,0.14594112,-0.23981747
39.9491371,116.3387028,-0.20470424,9.980828,3.840898,-0.5012065,0.14594112,-0.23981747
39.9491308,116.3386662,-1.1216835,9.906608,3.3800142,0.10879005,0.1304948,0.18096165
39.9491232,116.338638,0.99898064,9.774927,2.5498247,-0.17936377,0.21318589,-0.11997532
39.9491073,116.338595,-0.2741361,10.134656,3.9725792,0.14354427,-0.24580958,-0.29254803
39.9490954,116.3385498,0.40821138,9.81084,3.0909145,-0.21518326,-0.21132168,-0.15406376
39.9490929,116.3385034,0.23582886,9.718663,3.4644098,-0.1079911,-0.09427583,-0.19587535
39.9490968,116.3384608,0.23582886,9.718663,3.4644098,-0.1079911,-0.09427583,-0.19587535
39.9490986,116.3384214,-0.073621705,9.624092,3.7457285,0.002130527,-0.05286371,-0.22184116
39.9490968,116.3383827,-0.073621705,9.624092,3.7457285,0.002130527,-0.05286371,-0.22184116
39.9490919,116.3383457,-0.073621705,9.624092,3.7457285,0.002130527,-0.05286371,-0.22184116
39.9490866,116.3383143,-0.073621705,9.624092,3.7457285,0.002130527,-0.05286371,-0.22184116
39.9490834,116.3382883,-0.36032736,9.5253315,3.8253357,0.09507478,-0.13475585,-0.22357221
39.9490781,116.3382669,-0.36032736,9.5253315,3.8253357,0.09507478,-0.13475585,-0.22357221
39.9490736,116.3382472,-0.36032736,9.5253315,3.8253357,0.09507478,-0.13475585,-0.22357221
39.9490671,116.3382267,-0.36032736,9.5253315,3.8253357,0.09507478,-0.13475585,-0.22357221
39.9490606,116.3382045,-0.36032736,9.5253315,3.8253357,0.09507478,-0.13475585,-0.22357221
39.9490551,116.3381818,-0.36032736,9.5253315,3.8253357,0.09507478,-0.13475585,-0.22357221
39.9490482,116.3381564,-0.36032736,9.5253315,3.8253357,0.09507478,-0.13475585,-0.22357221
39.9490395,116.3381265,-0.42796355,9.46009,3.5009215,0.12996216,-0.1808285,-0.18761955
39.949032,116.3380952,-0.42796355,9.46009,3.5009215,0.12996216,-0.1808285,-0.18761955
39.9490251,116.3380665,-0.42796355,9.46009,3.5009215,0.12996216,-0.1808285,-0.18761955
39.9490199,116.33804,-0.42796355,9.46009,3.5009215,0.12996216,-0.1808285,-0.18761955
39.9490121,116.3380146,-0.42796355,9.46009,3.5009215,0.12996216,-0.1808285,-0.18761955
39.9490022,116.3379881,-0.42796355,9.46009,3.5009215,0.12996216,-0.1808285,-0.18761955
39.9489872,116.3379641,-0.42796355,9.46009,3.5009215,0.12996216,-0.1808285,-0.18761955
39.9489671,116.3379475,-0.42796355,9.46009,3.5009215,0.12996216,-0.1808285,-0.18761955
39.9489444,116.3379431,-0.42796355,9.46009,3.5009215,0.12996216,-0.1808285,-0.18761955
39.9489199,116.3379494,-0.52133745,9.293094,3.532046,0.13329111,-0.17843166,-0.12783164
39.9488939,116.337953,-0.52133745,9.293094,3.532046,0.13329111,-0.17843166,-0.12783164
39.9488676,116.3379538,-0.52133745,9.293094,3.532046,0.13329111,-0.17843166,-0.12783164
39.9488423,116.337951,-0.52133745,9.293094,3.532046,0.13329111,-0.17843166,-0.12783164
39.9488156,116.3379535,-0.52133745,9.293094,3.532046,0.13329111,-0.17843166,-0.12783164
39.9487854,116.3379628,-0.52133745,9.293094,3.532046,0.13329111,-0.17843166,-0.12783164
39.9487508,116.3379698,-0.52133745,9.293094,3.532046,0.13329111,-0.17843166,-0.12783164
39.9487119,116.3379742,-0.52133745,9.293094,3.532046,0.13329111,-0.17843166,-0.12783164
39.948672,116.3379663,-0.52133745,9.293094,3.532046,0.13329111,-0.17843166,-0.12783164
39.9486348,116.3379511,-0.52133745,9.293094,3.532046,0.13329111,-0.17843166,-0.12783164
