time_stamp,x,y
1700454487,-671.7,-183.6
1700454723,-474.69,-238.65
1700454907,-359.224,-95.3531
1700455017,-215.406586,-61.19653058
1700455165,-27.5453629,-19.84908434
1700454413,-597.4210349,-153.7788558
1700454640,-569.5564516,-284.1131972
1700453892,-316.078629,18.80178931
