Time_Stamp,Latitude,Longitude,Acceleration_X,Acceleration_Y,Acceleration_Z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z,Index
1697515089615.0,39.9510885,116.3405165,1.204882,9.593566,2.4247277,-0.07603319,-0.09147952,0.040480018,82
1697515090613.0,39.9510437,116.3405492,1.6531962,9.367912,2.7563248,-0.44448125,0.014114743,-0.10213215,133
1697515091684.0,39.9510615,116.3405582,1.5454572,9.524733,2.1068976,0.078030564,0.21025641,-0.0560595,186
1697515125699.0,39.9510595,116.3405617,1.4311341,9.326612,1.6454151,0.13755217,-0.069242135,-0.025566328,1885
1697515125828.0,39.9510478,116.3405442,0.79367787,9.064447,3.4913447,0.015845796,-0.17084165,0.0051931604,1892
1697515125828.0,39.9510328,116.3405219,0.79367787,9.064447,3.4913447,0.015845796,-0.17084165,0.0051931604,1892
1697515125829.0,39.9510144,116.3404919,0.79367787,9.064447,3.4913447,0.015845796,-0.17084165,0.0051931604,1892
1697515125831.0,39.9509876,116.3404611,0.79367787,9.064447,3.4913447,0.015845796,-0.17084165,0.0051931604,1892
1697515125833.0,39.9509556,116.3404323,0.79367787,9.064447,3.4913447,0.015845796,-0.17084165,0.0051931604,1892
1697515125835.0,39.9509214,116.3404033,0.79367787,9.064447,3.4913447,0.015845796,-0.17084165,0.0051931604,1892
1697515125838.0,39.950887,116.3403703,0.9552865,9.223063,2.4390929,0.09254478,-0.10319742,-0.036751594,1893
1697515125840.0,39.9508506,116.3403359,0.9552865,9.223063,2.4390929,0.09254478,-0.10319742,-0.036751594,1893
1697515125853.0,39.9508281,116.3402904,0.9552865,9.223063,2.4390929,0.09254478,-0.10319742,-0.036751594,1893
1697515125855.0,39.9508049,116.3402428,0.9552865,9.223063,2.4390929,0.09254478,-0.10319742,-0.036751594,1893
1697515125901.0,39.9507394,116.3400869,1.2826935,9.545682,2.2511482,-0.23076274,0.029694224,-0.018642114,1896
1697515125901.0,39.9507135,116.3400565,1.2826935,9.545682,2.2511482,-0.23076274,0.029694224,-0.018642114,1896
1697515125902.0,39.950687,116.3400342,1.2826935,9.545682,2.2511482,-0.23076274,0.029694224,-0.018642114,1896
1697515125902.0,39.9506593,116.3400297,1.2826935,9.545682,2.2511482,-0.23076274,0.029694224,-0.018642114,1896
1697515125902.0,39.9506283,116.3400358,1.2826935,9.545682,2.2511482,-0.23076274,0.029694224,-0.018642114,1896
1697515125906.0,39.9505955,116.3400466,1.2826935,9.545682,2.2511482,-0.23076274,0.029694224,-0.018642114,1896
1697515125910.0,39.9505606,116.3400579,1.2826935,9.545682,2.2511482,-0.23076274,0.029694224,-0.018642114,1896
1697515125914.0,39.9505241,116.3400742,1.2826935,9.545682,2.2511482,-0.23076274,0.029694224,-0.018642114,1896
1697515125914.0,39.9504851,116.3400869,1.2826935,9.545682,2.2511482,-0.23076274,0.029694224,-0.018642114,1896
1697515125914.0,39.9504465,116.3400967,1.2826935,9.545682,2.2511482,-0.23076274,0.029694224,-0.018642114,1896
