Lid,Start_x,Start_y,End_x,End_y,Length_c,Length_t
57,-278.3266129,-250.8554687,-267.5403226,-286.8097698,37.537392371145565,35.03652018094147
58,-226.1928763,-142.9925655,-219.0020161,-166.3628612,24.4515682834738,22.82251940009901
59,-219.0020161,-166.3628612,-210.32,-203.87,38.49886835379873,35.93393927539122
60,-210.32,-203.87,-207.3168683,-217.5977403,14.052389610019668,13.11617033207576
61,-219.0020161,-166.3628612,-291.8094758,-184.3400118,74.99402730659423,69.9976632686214
62,-210.32,-203.87,-283.7197581,-222.0920279,75.6278175668642,70.58922820805235
63,-215.406586,-61.19653058,-302.5957661,-80.07253864,89.20906235798816,83.26564303467978
64,-302.5957661,-80.07253864,-317.8763441,-91.75768649,19.236391145182175,17.95479557830806
65,-317.8763441,-91.75768649,-298.1014785,-156.4754284,67.67149641782302,63.16298496376369
66,-302.5957661,-80.07253864,-305.2923387,-45.01709509,35.15900491018351,32.816589199849936
67,-305.2923387,-45.01709509,-312.4831989,0.824638777,46.40229557197357,43.31081256723555
68,-312.4831989,0.824638777,-316.078629,18.80178931,18.333168272018018,17.111748567726966
69,-317.8763441,-91.75768649,-359.2237903,-95.3531166,41.50347485377329,38.73836839586116
70,-359.2237903,-95.3531166,-439.23,-113.62,82.06505114669442,76.59759080285325
71,-439.23,-113.62,-453.19,-118.57,14.81162043802093,13.824818550477492
72,-453.19,-118.57,-524.6135753,-134.0039903,73.07212303755286,68.2038029748023
73,-524.6135753,-134.0039903,-597.4210349,-153.7788558,75.44515543723617,70.41873566750162
74,-359.2237903,-95.3531166,-379.8975134,7.116641465,104.53446390887125,97.57001280574815
75,-439.23,-113.62,-464.390121,-9.062794019,107.54181052636181,100.3769994875345
76,-524.6135753,-134.0039903,-535.3998656,-91.75768649,43.601539468723985,40.69665261805301
77,-535.3998656,-91.75768649,-537.09,-68.99,22.830332945381944,21.309296422874468
78,-537.09,-68.99,-546.1861559,-30.63537466,39.41848978752071,36.792292317148956
79,-537.09,-68.99,-503.89,-58.74,34.746258791415265,32.431341669151855
80,-503.89,-58.74,-505.7375672,-51.30909778,7.657141265623668,7.1469957696786075
81,-505.7375672,-51.30909778,-517.4227151,-20.74794187,32.718907866861976,30.539059944314666
82,-503.89,-58.74,-475.71,-52.4,28.884390248021514,26.96001128242757
83,-475.71,-52.4,-476.9741263,-43.21938004,9.267243287639655,8.649827171230655
84,-476.9741263,-43.21938004,-484.1649866,-30.63537466,14.493642166756599,13.528025102277894
85,-484.1649866,-30.63537466,-485.0638441,-14.45593918,16.204384507187832,15.124791812716303
86,-475.71,-52.4,-456.3004032,-45.91595262,20.46400054643896,19.100617353464422
87,-535.3998656,-91.75768649,-610.9038978,-104.3416919,76.54551633255565,71.44578667663924
88,-610.9038978,-104.3416919,-683.7113575,-123.2176999,75.21455886983041,70.20350224884311
89,-683.7113575,-123.2176999,-693.5987903,-76.47710853,47.77493285177736,44.59199995711738
90,-693.5987903,-76.47710853,-621.6901882,-61.19653058,73.51423752214367,68.61646224821416
91,-453.19,-118.57,-444.6152554,-150.1834257,32.755685452218046,30.573387278477725
92,-444.6152554,-150.1834257,-434.7278226,-192.4297295,43.387918965265115,40.49726425866732
93,-434.7278226,-192.4297295,-425.7392473,-222.0920279,30.994296770444933,28.92934846285495
94,-425.7392473,-222.0920279,-455.4015457,-231.0806032,30.994296770444922,28.92934846285494
95,-455.4015457,-231.0806032,-459.8958333,-233.7771757,5.241194928570195,4.892008216006339
96,-459.8958333,-233.7771757,-495.6,-246.07,37.761104976047264,35.245328270722226
97,-495.6,-246.07,-494.0524194,-265.2371892,19.229564413737844,17.94842366755693
98,-494.0524194,-265.2371892,-569.5564516,-284.1131972,77.8277749680324,72.64261676315323
99,-455.4015457,-231.0806032,-435.6266801,-321.8652134,92.91335080957961,86.72313885130386
100,-495.6,-246.07,-496.17,-238.24,7.850719712230195,7.327677344042264
101,-496.17,-238.24,-501.2432796,-228.3840306,11.085048430814938,10.34652378654582
102,-501.2432796,-228.3840306,-512.0295699,-186.1377268,43.60153945903478,40.696652609009334
103,-512.0295699,-186.1377268,-513.8272849,-160.9697161,25.23213312061704,23.551080281438352
104,-513.8272849,-160.9697161,-519.2204301,-153.7788558,8.988575360000027,8.389725074260486
105,-519.2204301,-153.7788558,-524.6135753,-134.0039903,20.497105178326347,19.13151643914776
106,-496.17,-238.24,-474.2775538,-230.1817456,23.328408959785786,21.774188873521023
107,-474.2775538,-230.1817456,-465.2889785,-229.2828881,9.033406374622864,8.43156929010358
108,-465.2889785,-229.2828881,-458.0981183,-229.2828881,7.190860199999975,6.711779977271212
109,-494.0524194,-265.2371892,-484.1649866,-304.7869204,40.76692980059657,38.05089454672838
110,-484.1649866,-304.7869204,-484.1649866,-311.0789231,6.292002700000012,5.872807503446755
111,-484.1649866,-311.0789231,-474.2775538,-329.9549311,21.308801125135602,19.889134366892563
112,-683.7113575,-123.2176999,-678.3182124,-150.1834257,27.499752398711493,25.667622842895547
113,-678.3182124,-150.1834257,-664.08,-222.09,73.30267471183392,68.41899449127288
114,-664.08,-222.09,-661.2399194,-243.6646085,21.760739641445312,20.310963160716863
115,-661.2399194,-243.6646085,-656.02,-260.99,18.09466079181282,16.889131288910914
116,-656.02,-260.99,-648.655914,-290.4051999,30.322990416058165,28.3027668825333
117,-648.655914,-290.4051999,-640.5661962,-322.7640709,33.35476077681079,31.132550112498453
118,-648.655914,-290.4051999,-573.1518817,-272.4280494,77.61466893351476,72.44370859699097
119,-656.02,-260.99,-581.2415995,-247.2600386,76.02842245755127,70.96314340169086
120,-664.08,-222.09,-589.3313172,-204.1148774,76.87958514989568,71.75759866253398
121,-678.3182124,-150.1834257,-603.7130376,-132.2062752,76.74053718236668,71.6278145562679
122,-589.3313172,-204.1148774,-512.0295699,-186.1377268,79.36458958079564,74.07704341863489
123,-455.4015457,-231.0806032,-458.0981183,-229.2828881,3.240876944260445,3.0249584025131298
124,-277.4277554,28.68922211,-298.0,103.5,77.58781951046917,72.41864797628823
