Time_Stamp,Latitude,Longitude,Acceleration_X,Acceleration_Y,Acceleration_Z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z,Index
1700453829989.0,39.9517365,116.337029,-1.271321,3.7469256,8.20433,-0.6360955,-0.105594255,0.13329111,856
1700453830003.0,39.9517051,116.3370176,-0.7846996,3.78643,6.909666,-0.4006723,-0.33369383,0.098137416,857
1700453830010.0,39.9516907,116.3370174,-0.7846996,3.78643,6.909666,-0.4006723,-0.33369383,0.098137416,857
1700453830028.0,39.95163,116.3370222,-0.7846996,3.78643,6.909666,-0.1691106,-0.26738116,0.124635845,858
1700453830029.0,39.9516164,116.3370262,-0.7846996,3.78643,6.909666,-0.1691106,-0.26738116,0.124635845,858
1700453830033.0,39.9516021,116.3370249,-0.7846996,3.78643,6.909666,-0.1691106,-0.26738116,0.124635845,858
1700453830591.0,39.951548,116.3370219,0.14724341,3.679888,7.4405804,-0.108124256,-0.29374644,-0.59747976,886
1700453831571.0,39.9515344,116.337017,2.1493945,7.1963716,7.401076,0.24580958,-0.48975495,-0.53502864,935
1700453832572.0,39.9515234,116.3370136,-0.04249708,7.173627,9.401431,0.18189377,-0.057124764,0.16218638,985
1700453834572.0,39.9515031,116.3370149,-0.9828198,5.3007627,7.180211,-0.23289326,0.35473278,-0.12743217,1085
1700453835597.0,39.9514942,116.3370175,-1.5927427,6.7630215,9.333197,-0.054328445,0.3733749,0.26471803,1136
1700453837593.0,39.951486,116.3370209,-0.4297592,3.70802,5.0332108,0.20865852,-0.19148114,-0.5659213,1236
1700453872604.0,39.951473,116.3370223,-0.12868834,4.805163,5.445612,0.10226531,0.0105194785,-0.24394538,2985
1700453872661.0,39.9514664,116.3370228,-0.5859809,5.777209,4.5567646,0.21584904,-0.09920268,-0.16844481,2988
1700453872683.0,39.9514372,116.3370285,-0.4902128,6.0800753,4.441244,0.28242803,0.029694224,-0.10612689,2989
1700453872686.0,39.9514312,116.3370301,-0.4902128,6.0800753,4.441244,0.28242803,0.029694224,-0.10612689,2989
1700453872688.0,39.9514242,116.3370313,-0.4902128,6.0800753,4.441244,0.28242803,0.029694224,-0.10612689,2989
1700453872700.0,39.9513981,116.3370306,-0.39444473,6.281787,4.630985,0.3775028,0.12823111,-0.045273706,2990
1700453872702.0,39.9513897,116.3370256,-0.39444473,6.281787,4.630985,0.3775028,0.12823111,-0.045273706,2990
1700453872721.0,39.9513245,116.3370164,-0.38965634,6.5068417,4.8739963,0.42517334,0.15579481,0.012783164,2991
1700453872724.0,39.9513113,116.3370186,-0.38965634,6.5068417,4.8739963,0.42517334,0.15579481,0.012783164,2991
1700453872740.0,39.9512076,116.3370453,-0.40282443,6.707356,5.093664,0.40613177,0.15219954,0.04807002,2992
1700453872742.0,39.9511963,116.337046,-0.40282443,6.707356,5.093664,0.40613177,0.15219954,0.04807002,2992
1700453872746.0,39.9511844,116.3370422,-0.40282443,6.707356,5.093664,0.40613177,0.15219954,0.04807002,2992
1700453872746.0,39.9511729,116.3370318,-0.40282443,6.707356,5.093664,0.40613177,0.15219954,0.04807002,2992
1700453872747.0,39.9511645,116.3370168,-0.40282443,6.707356,5.093664,0.40613177,0.15219954,0.04807002,2992
1700453872762.0,39.9511523,116.336935,-0.3597288,7.029376,5.451597,0.37124437,0.1691106,0.088683195,2993
1700453875594.0,39.9511438,116.3368903,-0.01316811,8.363545,7.743447,0.28575698,-0.17430377,-0.10266478,3134
1700453911585.0,39.9511411,116.3368703,0.7164649,5.2061915,4.551976,0.07816372,-0.06511424,-0.6106624,4932
1700453911637.0,39.9511402,116.3368527,0.1328782,6.55293,3.615843,0.35553175,-0.1814943,-0.44048652,4935
1700453911652.0,39.9511377,116.3367404,0.31064767,6.993463,3.1872811,0.2631201,-0.12290479,-0.35326806,4936
1700453911672.0,39.9511368,116.3366666,0.49919105,7.4735007,3.283049,0.1833585,0.035153702,-0.24927169,4937
1700453911672.0,39.9511363,116.3366512,0.49919105,7.4735007,3.283049,0.1833585,0.035153702,-0.24927169,4937
1700453911675.0,39.9511367,116.3366359,0.49919105,7.4735007,3.283049,0.1833585,0.035153702,-0.24927169,4937
1700453911712.0,39.9511485,116.33653,0.34835634,8.384495,4.7483006,0.12729901,0.26618275,-0.029427908,4939
1700453911713.0,39.9511482,116.3365146,0.34835634,8.384495,4.7483006,0.12729901,0.26618275,-0.029427908,4939
1700453911714.0,39.9511464,116.3364984,0.34835634,8.384495,4.7483006,0.12729901,0.26618275,-0.029427908,4939
