Time_Stamp,Latitude,Longitude,Acceleration_X,Acceleration_Y,Acceleration_Z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z,Index,Distance
1700453829839.0,39.9517704,116.3370313,-0.19692309,6.71813,9.542689,-0.055660024,0.10053425,0.38282913,844,12.63202305263522
1700453829972.0,39.951761,116.3370345,-0.45370123,4.107253,12.681488,-0.84262353,0.402137,0.4756402,849,12.764679788145328
1700453829978.0,39.9517521,116.3370359,0.25019407,3.3105824,12.976573,-0.2821617,0.02223738,0.11012163,850,12.765619686664271
1700453829989.0,39.9517365,116.337029,0.091578215,3.8726213,10.453085,0.42517334,-0.28269434,-0.2049301,851,12.765619686664271
1700453829998.0,39.9517195,116.3370206,-0.40102878,4.7614684,7.4735007,0.62877184,-0.04087949,-0.26005748,852,12.765619686664271
1700453830003.0,39.9517051,116.3370176,-1.2964603,5.0918684,6.3865333,0.2384859,0.43968758,-0.13222586,853,12.76710718612314
1700453830010.0,39.9516907,116.3370174,-1.6316484,5.037999,6.6624646,-0.32756856,0.6644582,0.07776424,854,12.7858471012389
1700453830015.0,39.95168,116.3370212,-1.7196354,4.035427,8.432379,-0.6562024,0.38935387,0.17949693,855,12.793919010398922
1700453830021.0,39.9516698,116.337026,-1.271321,3.7469256,8.20433,-0.6360955,-0.105594255,0.13329111,856,12.806240661813892
1700453830026.0,39.9516576,116.3370272,-0.7846996,3.78643,6.909666,-0.4006723,-0.33369383,0.098137416,857,12.81609310008339
1700453830026.0,39.951644,116.3370232,-0.7846996,3.78643,6.909666,-0.1691106,-0.26738116,0.124635845,858,12.82922968444272
1700453830028.0,39.95163,116.3370222,-0.6715736,3.9600096,5.6179943,-0.07643267,-0.025166854,0.21025641,859,12.84230617081199
1700453830029.0,39.9516164,116.3370262,-0.5021838,4.0916905,5.228338,-0.08815057,0.07856319,0.23555642,860,12.850475515979417
1700453830033.0,39.9516021,116.3370249,-0.41060558,4.209007,5.273828,-0.14847112,0.038216334,0.18895113,861,12.862447780125189
1700453830037.0,39.9515866,116.3370203,-0.49200845,4.5681367,5.485116,-0.16831166,-0.010785795,0.16831166,862,12.874804608872838
1700453830041.0,39.9515731,116.3370195,-0.6997054,5.0481744,5.819107,-0.15965639,-0.13382374,0.19054903,863,12.889954017522516
1700453830049.0,39.9515604,116.3370212,-0.65062433,5.5030727,5.877765,-0.22636852,-0.18016271,0.24114905,864,12.90564172276176
1700453830591.0,39.951548,116.3370219,0.90381116,4.7405195,6.895301,0.32610384,-0.039414756,-0.7033403,882,13.214454999323245
1700453831571.0,39.9515344,116.337017,0.99778354,6.9808936,11.506534,0.6279729,-0.7756451,-0.52837074,931,13.951212856907096
1700453832572.0,39.9515234,116.3370136,0.78410107,5.681441,6.4445925,-0.1463406,0.00066578976,0.42543966,980,14.731323560279296
1700453833578.0,39.951514,116.337013,-0.7799112,4.9063177,6.9120603,-0.072837405,0.027563697,0.35992596,1031,15.575506095174283
1700453834572.0,39.9515031,116.3370149,-0.2705448,4.2898107,10.670957,-0.05912213,-0.20519641,0.22383852,1081,16.4357369498695
1700453835597.0,39.9514942,116.3370175,-0.6392518,6.1626754,10.733206,0.092278466,-0.002530001,0.048469495,1132,17.246975228601123
1700453837593.0,39.951486,116.3370209,0.005985504,3.791817,8.126519,-0.34607753,0.07376951,-0.2663159,1231,18.787522009693312
1700453872604.0,39.951473,116.3370223,-0.94930094,5.7389016,6.567295,-0.54195285,-0.3221091,-0.16258587,2981,49.03406793097376
1700453872661.0,39.9514664,116.3370228,0.0011971008,4.9278655,5.7760115,-0.23702116,-0.1833585,-0.2049301,2983,49.065416155739655
1700453872668.0,39.9514603,116.3370234,-0.074818805,4.92607,5.397728,-0.0585895,0.005725792,-0.20599535,2984,49.07727137146105
1700453872672.0,39.9514534,116.3370244,-0.12868834,4.805163,5.445612,0.10226531,0.0105194785,-0.24394538,2985,49.0908796654704
1700453872678.0,39.9514449,116.3370262,-0.17956513,4.8416743,5.2103815,0.18069534,-0.06791056,-0.28802067,2986,49.118312072218686
1700453872683.0,39.9514372,116.3370285,-0.41299978,5.2959743,4.844667,0.20346536,-0.13009532,-0.25193486,2987,49.11906399339451
1700453872686.0,39.9514312,116.3370301,-0.5859809,5.777209,4.5567646,0.21584904,-0.09920268,-0.16844481,2988,49.13385926881799
1700453872688.0,39.9514242,116.3370313,-0.4902128,6.0800753,4.441244,0.28242803,0.029694224,-0.10612689,2989,49.151991244951645
1700453872691.0,39.9514133,116.3370333,-0.39444473,6.281787,4.630985,0.3775028,0.12823111,-0.045273706,2990,49.16981000841522
1700453872695.0,39.9514053,116.3370333,-0.38965634,6.5068417,4.8739963,0.42517334,0.15579481,0.012783164,2991,49.18918657073869
1700453872700.0,39.9513981,116.3370306,-0.40282443,6.707356,5.093664,0.40613177,0.15219954,0.04807002,2992,49.20630703534981
1700453872702.0,39.9513897,116.3370256,-0.3597288,7.029376,5.451597,0.37124437,0.1691106,0.088683195,2993,49.2282258603699
1700453872710.0,39.9513799,116.3370183,-0.46986207,7.426215,5.7365074,0.31079066,0.21611536,0.17030902,2994,49.247184948386526
1700453872712.0,39.951367,116.3370131,-0.6961141,7.792528,6.1327477,0.20306589,0.2998717,0.28429222,2995,49.27597799070305
1700453872724.0,39.9513113,116.3370186,-0.85891986,8.154651,6.5619082,0.03981423,0.32890016,0.39228335,2996,49.29222745656929
1700453872746.0,39.9511844,116.3370422,-1.009156,8.249222,7.1472907,-0.14620744,0.2530001,0.46765074,2997,49.318107868319736
1700453873594.0,39.9511502,116.336923,0.22565351,8.703522,10.014946,-0.32317436,-0.5801692,-0.29880646,3030,50.01174868182717
1700453874577.0,39.9511467,116.3369059,0.6961141,8.008605,6.945579,0.57151395,0.07789741,-0.20626168,3079,50.91129487962894
